timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], temperature.gpu, fan.speed [%]
2026/05/30 02:51:03.614, 100 %, 75 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:04.616, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:51:05.618, 100 %, 100 %, 21817 MiB, 2265 MiB, 74, 100 %
2026/05/30 02:51:06.620, 100 %, 100 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:51:07.621, 100 %, 52 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:51:08.623, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:09.625, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:10.627, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:11.629, 100 %, 65 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:12.631, 100 %, 68 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:13.633, 100 %, 78 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:14.635, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:15.636, 100 %, 47 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:51:16.637, 100 %, 51 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:51:17.639, 100 %, 47 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:51:18.640, 100 %, 72 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:51:19.642, 100 %, 55 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:51:20.645, 100 %, 63 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:21.647, 100 %, 71 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:51:22.648, 100 %, 53 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:51:23.649, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:24.651, 100 %, 77 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:25.652, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:51:26.654, 100 %, 47 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:27.656, 100 %, 71 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:28.658, 100 %, 69 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:29.660, 100 %, 70 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:30.661, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:31.663, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:32.664, 100 %, 74 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:33.665, 100 %, 100 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:51:34.667, 100 %, 65 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:51:35.668, 100 %, 63 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:36.670, 100 %, 66 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:37.671, 100 %, 66 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:51:38.673, 100 %, 95 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:39.675, 100 %, 91 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:40.676, 100 %, 65 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:51:41.678, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:42.679, 100 %, 100 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:43.681, 100 %, 96 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:44.684, 100 %, 88 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:45.685, 100 %, 68 %, 21817 MiB, 2265 MiB, 75, 100 %
2026/05/30 02:51:46.687, 100 %, 55 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:51:47.689, 100 %, 50 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:51:48.690, 100 %, 59 %, 21817 MiB, 2265 MiB, 79, 100 %
